Window_ID,Start_Date,End_Date,SMA,Min_Support,Max_Resistance,Volatility_Pct,Slope_Pct,Signal
1,2025-09-17,2025-09-26,169.26,158.53,182.15,3.99,-0.259,BEARISH
2,2025-09-17,2025-09-27,168.8,158.53,182.15,3.74,-0.143,BEARISH
3,2025-09-18,2025-09-27,168.27,158.53,177.27,3.3,0.004,NEUTRAL
4,2025-09-18,2025-09-28,167.93,158.53,177.27,3.15,0.083,BULLISH
5,2025-09-19,2025-09-28,167.48,158.53,177.27,3.12,0.095,BULLISH
6,2025-09-19,2025-09-29,167.35,158.53,177.27,3.07,0.161,BULLISH
7,2025-09-20,2025-09-29,167.71,158.53,177.27,3.17,0.206,BULLISH
8,2025-09-20,2025-09-30,167.91,158.53,178.13,3.35,0.354,BULLISH
9,2025-09-21,2025-09-30,168.89,158.53,188.24,4.24,0.531,BULLISH
10,2025-09-21,2025-10-01,170,158.53,188.24,4.76,0.643,BULLISH
11,2025-09-22,2025-10-01,171.21,158.53,188.24,4.77,0.645,BULLISH
12,2025-09-22,2025-10-02,172,158.53,188.24,4.49,0.567,BULLISH
13,2025-09-23,2025-10-02,173.02,159.19,188.24,4.17,0.497,BULLISH
14,2025-09-23,2025-10-03,174.04,163.81,188.24,3.79,0.423,BULLISH
15,2025-09-24,2025-10-03,175.23,163.81,189.45,4.05,0.469,BULLISH
16,2025-09-24,2025-10-04,176.47,163.81,195.8,4.71,0.594,BULLISH
17,2025-09-25,2025-10-04,177.99,163.81,202.14,5.58,0.753,BULLISH
18,2025-09-25,2025-10-05,179.21,163.81,202.14,6.25,0.931,BULLISH
19,2025-09-26,2025-10-05,180.6,163.81,202.14,6.29,0.947,BULLISH
20,2025-09-26,2025-10-06,181.67,163.81,202.14,6.19,0.921,BULLISH
21,2025-09-27,2025-10-06,182.54,163.81,202.14,5.99,0.853,BULLISH
22,2025-09-27,2025-10-07,183.52,163.81,202.14,5.85,0.812,BULLISH
23,2025-09-28,2025-10-07,184.52,163.81,202.14,5.69,0.765,BULLISH
24,2025-09-28,2025-10-08,185.77,163.81,202.14,5.42,0.703,BULLISH
25,2025-09-29,2025-10-08,187.16,169.82,202.14,4.69,0.557,BULLISH
26,2025-09-29,2025-10-09,188.33,173.66,202.14,4.2,0.454,BULLISH
27,2025-09-30,2025-10-09,189.8,175.2,203.11,4.1,0.439,BULLISH
28,2025-09-30,2025-10-10,191.71,175.2,216.45,4.82,0.538,BULLISH
29,2025-10-01,2025-10-10,193.22,175.2,218.31,5.62,0.702,BULLISH
30,2025-10-01,2025-10-11,194.57,175.2,218.31,5.99,0.799,BULLISH
31,2025-10-02,2025-10-11,196.46,175.2,220.95,6.45,0.891,BULLISH
32,2025-10-02,2025-10-12,198.47,178.85,220.95,6.21,0.85,BULLISH
33,2025-10-03,2025-10-12,200.27,179.6,220.95,5.96,0.803,BULLISH
34,2025-10-03,2025-10-13,202.14,186.98,220.95,5.68,0.753,BULLISH
35,2025-10-04,2025-10-13,203.69,186.98,220.95,5.77,0.778,BULLISH
36,2025-10-04,2025-10-14,205.24,186.98,226.75,6.15,0.872,BULLISH
37,2025-10-05,2025-10-14,205.91,186.98,226.75,6.22,0.917,BULLISH
38,2025-10-05,2025-10-15,206.78,186.98,226.75,6.32,0.972,BULLISH
39,2025-10-06,2025-10-15,208.33,186.98,226.75,6.44,1.008,BULLISH
40,2025-10-06,2025-10-16,210.16,186.98,227.33,6.37,0.996,BULLISH
41,2025-10-07,2025-10-16,212.13,190.59,227.33,6,0.924,BULLISH
42,2025-10-07,2025-10-17,214.31,191.43,234.16,5.87,0.903,BULLISH
43,2025-10-08,2025-10-17,216.13,191.57,234.16,5.43,0.817,BULLISH
44,2025-10-08,2025-10-18,218.07,191.57,234.16,5.1,0.76,BULLISH
45,2025-10-09,2025-10-18,220.43,193.22,238.59,4.63,0.695,BULLISH
46,2025-10-09,2025-10-19,222.98,203.11,244.33,4.23,0.647,BULLISH
47,2025-10-10,2025-10-19,225.03,214.06,244.33,4.15,0.636,BULLISH
48,2025-10-10,2025-10-20,226.85,214.06,252.89,4.81,0.747,BULLISH
49,2025-10-11,2025-10-20,228.25,214.06,252.89,5.04,0.804,BULLISH
50,2025-10-11,2025-10-21,229.52,214.69,252.89,4.91,0.772,BULLISH
51,2025-10-12,2025-10-21,230.25,214.69,252.89,4.85,0.749,BULLISH
52,2025-10-12,2025-10-22,231.69,214.69,252.89,4.75,0.729,BULLISH
53,2025-10-13,2025-10-22,232.79,215.59,252.89,4.44,0.641,BULLISH
54,2025-10-13,2025-10-23,234.29,215.59,252.89,4.32,0.618,BULLISH
55,2025-10-14,2025-10-23,236.08,215.59,256.46,4.53,0.655,BULLISH
56,2025-10-14,2025-10-24,237.37,215.59,256.46,4.64,0.688,BULLISH
57,2025-10-15,2025-10-24,239.3,219.04,256.46,4.35,0.639,BULLISH
58,2025-10-15,2025-10-25,240.79,226.03,256.46,3.94,0.559,BULLISH
59,2025-10-16,2025-10-25,242.39,226.48,258.01,3.95,0.561,BULLISH
60,2025-10-16,2025-10-26,243.71,226.48,258.01,3.78,0.526,BULLISH
61,2025-10-17,2025-10-26,245.33,227.77,259,3.62,0.501,BULLISH
62,2025-10-17,2025-10-27,246.61,227.77,259.65,3.66,0.51,BULLISH
63,2025-10-18,2025-10-27,247.78,232.94,259.65,3.21,0.414,BULLISH
64,2025-10-18,2025-10-28,248.75,235.62,259.65,2.91,0.345,BULLISH
65,2025-10-19,2025-10-28,249.23,235.62,259.65,2.75,0.276,BULLISH
66,2025-10-19,2025-10-29,249.19,235.62,259.65,2.77,0.213,BULLISH
67,2025-10-20,2025-10-29,249.14,235.62,259.65,2.78,0.145,BULLISH
68,2025-10-20,2025-10-30,249.06,235.62,259.65,2.77,0.182,BULLISH
69,2025-10-21,2025-10-30,249.42,235.62,259.65,2.78,0.188,BULLISH
70,2025-10-21,2025-10-31,250.44,235.62,259.91,2.75,0.184,BULLISH
71,2025-10-22,2025-10-31,251.57,236.71,259.91,2.46,0.135,BULLISH
72,2025-10-22,2025-11-01,252.15,236.71,259.91,2.39,0.113,BULLISH
73,2025-10-23,2025-11-01,253.36,243.03,260.87,2.04,0.065,NEUTRAL
74,2025-10-23,2025-11-02,254.07,243.03,261.15,2.05,0.069,NEUTRAL
75,2025-10-24,2025-11-02,253.96,243.03,261.15,2.04,0.085,BULLISH
76,2025-10-24,2025-11-03,254.69,243.03,267,2.31,0.148,BULLISH
77,2025-10-25,2025-11-03,255.46,243.03,269.73,2.64,0.229,BULLISH
78,2025-10-25,2025-11-04,256.47,243.03,269.73,2.8,0.263,BULLISH
79,2025-10-26,2025-11-04,257.35,243.03,275.68,3.23,0.378,BULLISH
80,2025-10-26,2025-11-05,258.54,243.03,277.35,3.6,0.464,BULLISH
81,2025-10-27,2025-11-05,259.25,243.03,277.35,3.8,0.547,BULLISH
82,2025-10-27,2025-11-06,260.33,243.03,281.14,4.21,0.668,BULLISH
83,2025-10-28,2025-11-06,262.07,243.03,286.1,4.61,0.749,BULLISH
84,2025-10-28,2025-11-07,263.5,243.03,286.1,4.76,0.79,BULLISH
85,2025-10-29,2025-11-07,265.21,243.03,286.1,4.77,0.794,BULLISH
86,2025-10-29,2025-11-08,266.9,243.03,286.1,4.46,0.727,BULLISH
87,2025-10-30,2025-11-08,268.18,251.33,286.1,3.94,0.592,BULLISH
88,2025-10-30,2025-11-09,268.97,253.33,286.1,3.66,0.486,BULLISH
89,2025-10-31,2025-11-09,269.17,254.24,286.1,3.55,0.332,BULLISH
90,2025-10-31,2025-11-10,268.87,253.88,286.1,3.69,0.197,BULLISH
91,2025-11-01,2025-11-10,268.19,244.73,286.1,4.11,0.006,NEUTRAL
92,2025-11-01,2025-11-11,267.68,244.73,286.1,4.41,-0.188,BEARISH
93,2025-11-02,2025-11-11,267,244.73,286.1,4.7,-0.337,BEARISH
94,2025-11-02,2025-11-12,266.12,243.42,286.1,5.08,-0.5,BEARISH
95,2025-11-03,2025-11-12,265.29,237.77,286.1,5.53,-0.725,BEARISH
96,2025-11-03,2025-11-13,263.35,228.2,286.1,6.35,-0.921,BEARISH
97,2025-11-04,2025-11-13,261.82,228.2,286.1,6.67,-1.02,BEARISH
98,2025-11-04,2025-11-14,259.95,228.2,286.1,7.14,-1.15,BEARISH
99,2025-11-05,2025-11-14,257.64,228.2,286.1,7.5,-1.233,BEARISH
100,2025-11-05,2025-11-15,255.11,226.86,286.1,7.79,-1.296,BEARISH
101,2025-11-06,2025-11-15,252.64,223.93,286.1,8.12,-1.371,BEARISH
102,2025-11-06,2025-11-16,249.76,223.41,286.1,8.16,-1.374,BEARISH
103,2025-11-07,2025-11-16,246.81,223.41,282.29,7.75,-1.289,BEARISH
104,2025-11-07,2025-11-17,244.26,223.41,282.29,7.26,-1.178,BEARISH
105,2025-11-08,2025-11-17,241.66,223.41,277.44,6.48,-1.025,BEARISH
106,2025-11-08,2025-11-18,239.53,223.41,268.57,5.58,-0.839,BEARISH
107,2025-11-09,2025-11-18,237.89,223.41,267.12,4.88,-0.674,BEARISH
108,2025-11-09,2025-11-19,236.39,223.41,257.36,4.01,-0.489,BEARISH
109,2025-11-10,2025-11-19,235.17,223.41,253.88,3.48,-0.371,BEARISH
110,2025-11-10,2025-11-20,234.12,223.41,247.36,2.98,-0.261,BEARISH
111,2025-11-11,2025-11-20,234.16,223.41,247.36,3.01,-0.119,BEARISH
112,2025-11-11,2025-11-21,233.99,223.41,247.36,2.9,0.006,NEUTRAL
113,2025-11-12,2025-11-21,233.96,223.41,246.69,2.88,0.173,BULLISH
114,2025-11-12,2025-11-22,234.19,223.41,248.07,3.04,0.323,BULLISH
115,2025-11-13,2025-11-22,234.73,223.41,248.54,3.3,0.434,BULLISH
116,2025-11-13,2025-11-23,235.74,223.41,248.54,3.46,0.472,BULLISH
117,2025-11-14,2025-11-23,235.96,223.41,248.54,3.51,0.54,BULLISH
118,2025-11-14,2025-11-24,236.79,223.41,248.54,3.65,0.583,BULLISH
119,2025-11-15,2025-11-24,237.85,223.41,250.56,3.77,0.615,BULLISH
120,2025-11-15,2025-11-25,239.15,223.41,252.87,3.83,0.628,BULLISH
121,2025-11-16,2025-11-25,240.43,223.41,252.87,3.63,0.587,BULLISH
122,2025-11-16,2025-11-26,241.95,227.05,253.82,3.41,0.551,BULLISH
123,2025-11-17,2025-11-26,243.69,230.25,261.81,3.52,0.567,BULLISH
124,2025-11-17,2025-11-27,245.42,230.25,264.84,3.74,0.6,BULLISH
125,2025-11-18,2025-11-27,247.67,232.88,275.25,4.27,0.67,BULLISH
126,2025-11-18,2025-11-28,249.47,232.88,275.25,4.53,0.717,BULLISH
127,2025-11-19,2025-11-28,251.31,232.88,275.25,4.73,0.757,BULLISH
128,2025-11-19,2025-11-29,253.34,232.88,277.79,5.03,0.811,BULLISH
129,2025-11-20,2025-11-29,255.69,232.88,279.85,5.12,0.826,BULLISH
130,2025-11-20,2025-11-30,257.71,242.02,279.85,4.85,0.777,BULLISH
131,2025-11-21,2025-11-30,259.37,242.02,279.85,5.01,0.815,BULLISH
132,2025-11-21,2025-12-01,261.43,243.5,283.26,5.1,0.834,BULLISH
133,2025-11-22,2025-12-01,263.14,243.5,283.26,5.14,0.846,BULLISH
134,2025-11-22,2025-12-02,264.35,243.5,283.26,5,0.802,BULLISH
135,2025-11-23,2025-12-02,265.37,243.5,283.26,4.8,0.729,BULLISH
136,2025-11-23,2025-12-03,266.66,243.5,283.26,4.59,0.673,BULLISH
137,2025-11-24,2025-12-03,268.74,248.23,285.13,4.34,0.63,BULLISH
138,2025-11-24,2025-12-04,270.25,249.5,285.13,4.01,0.558,BULLISH
139,2025-11-25,2025-12-04,270.96,249.5,285.13,3.67,0.412,BULLISH
140,2025-11-25,2025-12-05,271.81,249.5,285.13,3.33,0.301,BULLISH
141,2025-11-26,2025-12-05,272.76,253.82,285.13,2.77,0.153,BULLISH
142,2025-11-26,2025-12-06,273.25,261.81,285.13,2.4,-0.005,NEUTRAL
143,2025-11-27,2025-12-06,273.07,258.31,285.13,2.52,-0.149,BEARISH
144,2025-11-27,2025-12-07,272.67,256.72,285.13,2.78,-0.283,BEARISH
145,2025-11-28,2025-12-07,271.44,250.65,285.13,3.29,-0.385,BEARISH
146,2025-11-28,2025-12-08,270.21,246.33,285.13,3.88,-0.522,BEARISH
147,2025-11-29,2025-12-08,268.99,246.33,285.13,4.27,-0.627,BEARISH
148,2025-11-29,2025-12-09,267.56,246.33,285.13,4.51,-0.685,BEARISH
149,2025-11-30,2025-12-09,266.22,246.33,285.13,4.56,-0.694,BEARISH
150,2025-11-30,2025-12-10,265.4,246.33,285.13,4.59,-0.704,BEARISH
151,2025-12-01,2025-12-10,264.38,246.33,285.13,4.49,-0.664,BEARISH
152,2025-12-01,2025-12-11,263.23,246.33,285.13,4.2,-0.576,BEARISH
153,2025-12-02,2025-12-11,262.27,246.33,285.13,3.92,-0.48,BEARISH
154,2025-12-02,2025-12-12,262.35,246.33,285.13,3.95,-0.356,BEARISH
155,2025-12-03,2025-12-12,262.17,246.33,285.13,3.92,-0.301,BEARISH
156,2025-12-03,2025-12-13,262.07,246.33,285.13,3.88,-0.175,BEARISH
157,2025-12-04,2025-12-13,261.84,246.33,280.66,3.71,0.066,NEUTRAL
158,2025-12-04,2025-12-14,262.16,246.33,284.89,3.94,0.292,BULLISH
159,2025-12-05,2025-12-14,263.21,246.33,285.61,4.38,0.433,BULLISH
160,2025-12-05,2025-12-15,264.36,246.33,293.04,4.98,0.632,BULLISH
161,2025-12-06,2025-12-15,265.17,246.33,293.04,5.24,0.764,BULLISH
162,2025-12-06,2025-12-16,266.36,246.33,293.04,5.52,0.87,BULLISH
163,2025-12-07,2025-12-16,267.42,246.33,293.04,5.55,0.89,BULLISH
164,2025-12-07,2025-12-17,268.77,246.33,293.04,5.59,0.908,BULLISH
165,2025-12-08,2025-12-17,271.03,246.33,295.99,5.73,0.939,BULLISH
166,2025-12-08,2025-12-18,273.5,248.31,295.99,5.61,0.917,BULLISH
167,2025-12-09,2025-12-18,275.68,249.08,295.99,5.32,0.86,BULLISH
168,2025-12-09,2025-12-19,277.93,252.99,295.99,4.98,0.797,BULLISH
169,2025-12-10,2025-12-19,279.72,256.84,295.99,4.57,0.706,BULLISH
170,2025-12-10,2025-12-20,280.95,258.53,295.99,4.15,0.583,BULLISH
171,2025-12-11,2025-12-20,282.79,260.28,295.99,3.84,0.527,BULLISH
172,2025-12-11,2025-12-21,284.42,261.69,295.99,3.43,0.45,BULLISH
173,2025-12-12,2025-12-21,286.29,265.24,299.07,3.05,0.395,BULLISH
174,2025-12-12,2025-12-22,287.43,265.24,299.07,2.97,0.377,BULLISH
175,2025-12-13,2025-12-22,289.27,272.13,302.05,2.58,0.326,BULLISH
176,2025-12-13,2025-12-23,290.63,279.58,302.05,2.28,0.281,BULLISH
177,2025-12-14,2025-12-23,292.13,279.58,310.5,2.57,0.322,BULLISH
178,2025-12-14,2025-12-24,293.52,279.58,312.75,2.92,0.382,BULLISH
179,2025-12-15,2025-12-24,294.81,279.58,312.75,3.12,0.425,BULLISH
180,2025-12-15,2025-12-25,295.39,279.58,312.75,3.19,0.462,BULLISH
181,2025-12-16,2025-12-25,296.18,279.58,312.75,3.09,0.428,BULLISH
182,2025-12-16,2025-12-26,297.23,279.58,312.75,3.12,0.438,BULLISH
183,2025-12-17,2025-12-26,299.27,281.48,320.41,3.23,0.453,BULLISH
184,2025-12-17,2025-12-27,301.61,281.48,330.33,3.69,0.514,BULLISH
185,2025-12-18,2025-12-27,303.7,281.48,337.88,4.46,0.652,BULLISH
186,2025-12-18,2025-12-28,305.64,281.48,337.88,4.9,0.751,BULLISH
187,2025-12-19,2025-12-28,308,281.48,338.85,5.28,0.829,BULLISH
188,2025-12-19,2025-12-29,310.92,281.48,352.48,5.97,0.954,BULLISH
189,2025-12-20,2025-12-29,314.61,281.48,362.54,6.67,1.066,BULLISH
